date,Region,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites
2021-06-05,DCC1,17434.969696969696,14825.5,1150708,66
2021-06-05,IRE,16650.97382198953,14824.0,3180336,191
2021-06-05,IRE3,19151.137931034482,19218.0,555383,29
2021-06-05,NCITY,14450.0,14058.0,2846650,197
2021-06-05,SCITY,12398.700680272108,12697.0,1822609,147
2021-06-05,WCITY1,14499.216666666667,13716.5,1739906,120
2021-06-06,CCITY,12115.71186440678,9468.0,1429654,118
2021-06-06,DCC1,15092.712121212122,13049.5,996119,66
2021-06-06,IRE,14510.880208333334,12389.0,2786089,192
2021-06-06,IRE3,16711.827586206895,15265.0,484643,29
2021-06-06,NCITY,12455.10152284264,12124.0,2453655,197
2021-06-06,SCITY,10746.904761904761,11276.0,1579795,147
2021-06-06,WCITY1,12115.4,11423.0,1453848,120
2021-06-07,CCITY,11950.27966101695,9519.5,1410133,118
2021-06-07,DCC1,15634.363636363636,13878.5,1031868,66
2021-06-07,IRE,15157.890625,12684.5,2910315,192
2021-06-07,IRE3,17039.206896551725,16106.0,494137,29
2021-06-07,NCITY,12756.081218274112,12540.0,2512948,197
2021-06-07,SCITY,11070.00680272109,11620.0,1627291,147
2021-06-07,WCITY1,12520.725,11599.0,1502487,120
2021-06-08,CCITY,15205.07627118644,12970.5,1794199,118
2021-06-08,DCC1,20762.090909090908,16984.5,1370298,66
2021-06-08,IRE,19857.098958333332,16926.0,3812563,192
2021-06-08,IRE3,17602.5,17733.0,598485,34
2021-06-08,NCITY,16688.162436548224,15288.0,3287568,197
2021-06-08,SCITY,14082.190476190477,15056.0,2070082,147
2021-06-08,WCITY1,16508.283333333333,15693.5,1980994,120
2021-06-09,CCITY,15481.64406779661,13495.0,1826834,118
2021-06-09,DCC1,21319.090909090908,17952.0,1407060,66
2021-06-09,IRE,20550.015625,17201.0,3945603,192
2021-06-09,IRE3,21212.310344827587,22192.0,615157,29
2021-06-09,NCITY,17214.172588832487,16082.0,3391192,197
2021-06-09,SCITY,14901.727891156463,15339.0,2190554,147
2021-06-09,WCITY1,17304.033333333333,16259.0,2076484,120
2021-06-10,CCITY,16048.669491525423,13970.5,1893743,118
2021-06-10,DCC1,21908.848484848484,18552.5,1445984,66
2021-06-10,IRE,21248.223958333332,18300.5,4079659,192
2021-06-10,IRE3,21611.862068965518,22572.0,626744,29
2021-06-10,NCITY,17728.730964467006,17265.0,3492560,197
2021-06-10,SCITY,15461.986301369863,15666.0,2257450,146
2021-06-10,WCITY1,17608.766666666666,16271.5,2113052,120
2021-06-11,CCITY,16362.466101694916,14369.5,1930771,118
2021-06-11,DCC1,22103.060606060608,18748.0,1458802,66
2021-06-11,IRE,21419.963541666668,18578.5,4112633,192
2021-06-11,IRE3,22391.0,22874.0,649339,29
2021-06-11,NCITY,18055.05076142132,16630.0,3556845,197
2021-06-11,SCITY,15855.047945205479,16087.0,2314837,146
2021-06-11,WCITY1,17858.766666666666,16437.0,2143052,120
2021-06-12,CCITY,14793.542372881357,11988.5,1745638,118
2021-06-12,DCC1,18569.075757575756,15815.0,1225559,66
2021-06-12,IRE,17948.932291666668,16012.5,3446195,192
2021-06-12,IRE3,20053.44827586207,20737.0,581550,29
2021-06-12,NCITY,15583.243654822336,14503.0,3069899,197
2021-06-12,SCITY,13771.082191780823,14124.0,2010578,146
2021-06-12,WCITY1,15411.766666666666,14675.0,1849412,120
2021-06-13,CCITY,12642.627118644068,9529.5,1491830,118
2021-06-13,DCC1,16254.30303030303,14151.5,1072784,66
2021-06-13,IRE,16595.458333333332,13710.0,3186328,192
2021-06-13,IRE3,17660.793103448275,17601.0,512163,29
2021-06-13,NCITY,13767.197969543147,13424.0,2712138,197
2021-06-13,SCITY,12009.897260273972,11872.5,1753445,146
2021-06-13,WCITY1,13243.166666666666,12823.0,1589180,120
2021-06-14,CCITY,14964.78813559322,12553.0,1765845,118
2021-06-14,DCC1,20708.89393939394,17149.0,1366787,66
2021-06-14,IRE,19842.41884816754,17350.0,3789902,191
2021-06-14,IRE3,20024.51724137931,19825.0,580711,29
2021-06-14,NCITY,16691.20812182741,15797.0,3288168,197
2021-06-14,SCITY,14246.561643835616,14853.0,2079998,146
2021-06-14,WCITY1,16834.525,15727.5,2020143,120
2021-06-15,CCITY,15443.101694915254,12981.5,1822286,118
2021-06-15,DCC1,21341.333333333332,18186.0,1408528,66
2021-06-15,IRE,20455.71875,17392.0,3927498,192
2021-06-15,IRE3,20786.58620689655,21488.0,602811,29
2021-06-15,NCITY,17162.25888324873,16552.0,3380965,197
2021-06-15,SCITY,14830.445205479453,15206.0,2165245,146
2021-06-15,WCITY1,17270.358333333334,15930.0,2072443,120
2021-06-16,CCITY,15849.093220338984,13422.5,1870193,118
2021-06-16,DCC1,21755.954545454544,18026.0,1435893,66
2021-06-16,IRE,20663.734375,18034.5,3967437,192
2021-06-16,IRE3,21134.620689655174,22241.0,612904,29
2021-06-16,NCITY,17511.380710659898,16407.0,3449742,197
2021-06-16,SCITY,15262.71724137931,15240.0,2213094,145
2021-06-16,WCITY1,17320.466666666667,16187.5,2078456,120
2021-06-17,CCITY,16204.152542372882,14207.0,1912090,118
2021-06-17,DCC1,21945.469696969696,18590.5,1448401,66
2021-06-17,IRE,21081.9375,18154.0,4047732,192
2021-06-17,IRE3,21136.793103448275,22035.0,612967,29
2021-06-17,NCITY,17699.54314720812,16570.0,3486810,197
2021-06-17,SCITY,15562.372413793104,15843.0,2256544,145
2021-06-17,WCITY1,17740.816666666666,16619.0,2128898,120
2021-06-18,CCITY,16794.686440677968,14373.0,1981773,118
2021-06-18,DCC1,22389.803030303032,18819.5,1477727,66
2021-06-18,IRE,21442.463541666668,18459.0,4116953,192
2021-06-18,IRE3,21764.103448275862,22537.0,631159,29
2021-06-18,NCITY,18017.730964467006,16704.0,3549493,197
2021-06-18,SCITY,15769.737931034482,15967.0,2286612,145
2021-06-18,WCITY1,17920.9,16567.5,2150508,120
2021-06-19,CCITY,14672.466101694916,12226.0,1731351,118
2021-06-19,DCC1,18932.151515151516,16171.0,1249522,66
2021-06-19,IRE,18172.296875,16293.5,3489081,192
2021-06-19,IRE3,18888.96551724138,19962.0,547780,29
2021-06-19,NCITY,15753.76649746193,15113.0,3103492,197
2021-06-19,SCITY,13883.358620689654,14624.0,2013087,145
2021-06-19,WCITY1,15734.233333333334,14993.5,1888108,120
2021-06-20,CCITY,12558.093220338984,9779.0,1481855,118
2021-06-20,DCC1,16796.89393939394,14416.0,1108595,66
2021-06-20,IRE,16381.067708333334,14058.5,3145165,192
2021-06-20,IRE3,17248.0,17516.0,482944,28
2021-06-20,NCITY,14072.989847715737,13248.0,2772379,197
2021-06-20,SCITY,12137.372413793104,12289.0,1759919,145
2021-06-20,WCITY1,13677.216666666667,12731.5,1641266,120
2021-06-21,CCITY,14972.398305084746,12521.5,1766743,118
2021-06-21,DCC1,20560.454545454544,17176.5,1356990,66
2021-06-21,IRE,19633.723958333332,16908.5,3769675,192
2021-06-21,IRE3,20093.862068965518,21319.0,582722,29
2021-06-21,NCITY,16632.451776649745,15654.0,3276593,197
2021-06-21,SCITY,14250.662068965517,14879.0,2066346,145
2021-06-21,WCITY1,16847.083333333332,16237.0,2021650,120
2021-06-22,CCITY,15379.686440677966,12954.0,1814803,118
2021-06-22,DCC1,21137.89393939394,17835.5,1395101,66
2021-06-22,IRE,20321.864583333332,17395.0,3901798,192
2021-06-22,IRE3,20879.724137931036,21865.0,605512,29
2021-06-22,NCITY,16998.223350253807,16029.0,3348650,197
2021-06-22,SCITY,14688.813793103449,15529.0,2129878,145
2021-06-22,WCITY1,16893.966666666667,16152.5,2027276,120
2021-06-23,CCITY,15742.271186440677,13532.0,1857588,118
2021-06-23,DCC1,21454.21212121212,17117.0,1415978,66
2021-06-23,IRE,20072.203125,17689.0,3853863,192
2021-06-23,IRE3,19983.206896551725,21558.0,579513,29
2021-06-23,NCITY,17102.472081218275,15857.0,3369187,197
2021-06-23,SCITY,14834.643835616438,14838.5,2165858,146
2021-06-23,WCITY1,17346.108333333334,16622.5,2081533,120
2021-06-24,CCITY,15872.16806722689,13736.0,1888788,119
2021-06-24,DCC1,21770.621212121212,17687.5,1436861,66
2021-06-24,IRE,20753.40837696335,18196.0,3963901,191
2021-06-24,IRE3,20881.035714285714,21700.0,584669,28
2021-06-24,NCITY,17532.4923857868,16839.0,3453901,197
2021-06-24,SCITY,15367.732876712329,15875.5,2243689,146
2021-06-24,WCITY1,17550.766666666666,16639.0,2106092,120
2021-06-25,CCITY,16705.754237288136,14791.0,1971279,118
2021-06-25,DCC1,22249.727272727272,17874.0,1468482,66
2021-06-25,IRE,20683.46875,18264.0,3971226,192
2021-06-25,IRE3,21130.03448275862,22314.0,612771,29
2021-06-25,NCITY,17770.695431472082,17205.0,3500827,197
2021-06-25,SCITY,15635.849315068494,15604.0,2282834,146
2021-06-25,WCITY1,17760.116666666665,16657.5,2131214,120
2021-06-26,CCITY,14572.06779661017,11989.0,1719504,118
2021-06-26,DCC1,18627.378787878788,15891.5,1229407,66
2021-06-26,IRE,17565.802083333332,15793.0,3372634,192
2021-06-26,IRE3,19526.206896551725,19548.0,566260,29
2021-06-26,NCITY,15251.558375634519,14853.0,3004557,197
2021-06-26,SCITY,13503.903448275862,13924.0,1958066,145
2021-06-26,WCITY1,15242.633333333333,14096.5,1829116,120
2021-06-27,CCITY,12656.728813559323,10025.0,1493494,118
2021-06-27,DCC1,16676.31818181818,14428.0,1100637,66
2021-06-27,IRE,16242.171875,13769.5,3118497,192
2021-06-27,IRE3,17579.379310344826,17005.0,509802,29
