date,location_label,dublin_daily_avg_pm25,pm25_count,pm25_min,pm25_max
2022-01-17,south,18.379286544479214,8948,7.776,337.971
2022-01-18,north,8.800620408163265,245,3.013,28.425
2022-01-18,south,8.333385403519193,13469,1.594,149.734
2022-01-19,north,8.811284354014232,9977,2.085,129.219
2022-01-19,south,11.89067463706234,1171,3.138,189.724
2022-01-20,north,11.91423059781029,10321,4.659,140.872
2022-01-20,south,12.345056074766354,535,5.844,24.101
2022-01-24,north,30.677422515681744,15145,17.79,257.715
2022-01-24,south,28.20290511307768,2034,20.544,54.005
2022-01-25,south,13.92805803664739,14353,3.143,165.213
2022-01-26,north,12.774861824537556,20597,3.375,360.115
2022-01-26,south,11.935257359924027,1053,3.786,181.611
2022-01-27,north,6.924874651645419,16865,0.646,106.481
2022-01-27,south,6.266708333333334,528,2.148,30.65
2022-01-28,north,2.699741260666116,3633,0.534,149.81
2022-01-28,south,4.179765625,1664,0.763,94.678
2022-02-01,north,2.952061990212072,1226,0.626,28.237
2022-02-01,south,2.505490095548823,12873,0.166,71.423
2022-02-02,north,9.486694430631527,12066,3.386,84.259
2022-02-02,south,10.682067997504678,1603,4.458,45.676
2022-02-03,north,7.615706129260645,19774,0.882,365.678
2022-02-03,south,14.797231366459627,1288,3.025,37.813
2022-02-04,north,3.95928162601626,12300,0.405,57.589
2022-02-04,south,4.927932596291013,2804,1.572,29.8
2022-02-07,north,13.488357142857142,238,5.135,48.451
2022-02-07,south,5.092636971381356,13313,0.272,165.107
2022-02-08,north,2.5199777982638087,13017,0.343,65.091
2022-02-08,south,2.8839776785714286,672,1.168,12.111
2022-02-09,north,16.936023655913978,930,4.742,98.215
2022-02-09,south,11.086700415482177,9146,3.051,186.909
2022-02-10,north,8.509834632034632,1155,2.893,116.852
2022-02-10,south,7.5260915121222025,21407,0.94,170.169
2022-02-11,north,8.179049030090118,6547,1.612,173.686
2022-02-11,south,8.103570012882766,10091,1.639,312.956
2022-02-14,north,7.087890508996054,14951,1.215,238.276
2022-02-14,south,11.619748478701826,493,2.613,59.48
2022-02-15,north,24.449847133757963,2355,9.166,123.217
2022-02-15,south,21.469773493093342,19112,9.997,259.003
2022-02-16,north,12.075018645357687,10512,0.223,150.301
2022-02-16,south,10.387432555364999,13411,0.739,78.061
2022-02-17,south,4.838322890790321,21738,0.657,111.806
2022-02-18,north,4.649254052247535,17953,0.113,381.822
2022-02-18,south,2.9047978124999996,3200,0.122,59.187
2022-02-22,north,9.408516621903908,16755,1.896,136.494
2022-02-22,south,9.497800661703888,1209,3.659,31.995
2022-02-23,north,8.817067007534984,14864,1.669,168.589
2022-02-23,south,9.788127423822715,361,2.035,118.283
2022-02-24,north,7.7748996996997,3330,1.744,200.937
2022-02-24,south,8.11723444620106,10753,1.01,105.025
2022-02-25,south,12.778312093275488,7376,2.628,292.547
2022-02-28,north,14.264589448036736,21342,3.358,217.488
2022-02-28,south,14.669999440715882,1788,6.54,100.387
2022-03-01,north,13.193887323057565,15895,2.755,285.122
2022-03-01,south,13.234588695343051,2813,3.79,132.575
2022-03-02,south,3.5224756046119237,14224,0.527,47.687
2022-03-03,north,17.50997904540163,859,3.008,140.795
2022-03-03,south,9.551001536266872,9113,2.441,66.674
