date,dublin_daily_mean_site_traffic,dublin_daily_median_site_traffic,dublin_daily_total_traffic,dublin_daily_n_sites,dublin_daily_n_regions
2022-04-07,19352.314116130347,17753.428571428572,17028625,893,7
2022-04-08,19737.49461903032,18223.5,17329426,894,7
2022-04-09,17493.56415260926,16031.07142857143,15235617,892,7
2022-04-10,15179.176105415758,13633.714285714286,13292412,892,7
2022-04-11,16715.64164214031,14939.214285714286,14584647,891,7
2022-04-12,17333.430458491708,15186.42857142857,15307324,892,7
2022-04-13,18641.655888155346,16884.64285714286,16300346,889,7
2022-04-14,14938.951063885854,11461.42857142857,13789319,889,7
2022-04-15,20998.18727735245,19600.14285714286,11969077,616,7
2022-04-16,18892.504923793378,17428.214285714286,10578301,616,7
2022-04-17,15556.900035712348,14278.214285714286,8668306,616,7
2022-04-18,16714.601644788043,15229.92857142857,9240713,616,7
2022-04-19,20771.01015898566,19261.5,11849095,616,7
2022-04-20,15828.078647360235,13352.142857142857,13904356,863,7
2022-04-21,18365.9592591935,16890.285714285714,16047462,886,7
2022-04-22,18880.661738320203,17148.428571428572,16444441,886,7
2022-04-23,17207.815753267572,15774.92857142857,14925994,886,7
2022-04-24,16074.977976401102,14566.57142857143,13886779,882,7
2022-04-25,18336.756899298653,16607.64285714286,15920534,885,7
2022-04-26,18670.67937556981,17226.14285714286,16220749,887,7
2022-04-27,19210.559572186638,17940.571428571428,16534283,884,7
2022-04-28,19438.502505818025,18127.928571428572,16847838,884,7
2022-04-29,19653.784690214845,18243.428571428572,16963154,883,7
2022-04-30,17139.532846311307,15872.357142857143,14646325,883,7
2022-05-01,14478.335446069783,12872.5,12370209,883,7
2022-05-02,14162.235476623082,12590.357142857143,12188326,882,7
2022-05-03,18050.502277942687,16480.428571428572,15712716,884,7
2022-05-04,18951.10346952456,17603.35714285714,16394902,884,7
2022-05-05,18844.510432245053,17410.285714285714,16436303,881,7
2022-05-06,19742.924829222728,18005.928571428572,17117734,886,7
2022-05-07,17656.563572635572,16182.142857142857,15377016,886,7
2022-05-08,15985.236626782716,14200.57142857143,13826905,886,7
2022-05-09,18073.632416707416,16248.0,15724826,887,7
2022-05-10,18694.963538240965,17183.35714285714,16290885,886,7
2022-05-11,19238.74518371693,17449.571428571428,16783750,888,7
2022-05-12,19335.01220258479,17621.14285714286,16953793,892,7
2022-05-13,19794.992294043655,18161.5,17227683,887,7
2022-05-14,17561.834781117785,16139.714285714286,15229473,888,7
2022-05-15,16033.15576994739,14148.714285714286,13852422,888,7
2022-05-16,18115.937170975823,16112.57142857143,15854157,889,7
2022-05-17,18492.763146220725,17088.14285714286,16189904,889,7
2022-05-18,19059.330651550088,17412.571428571428,16618290,890,7
2022-05-19,19573.165131816168,17977.5,17081763,889,7
2022-05-20,19836.817482509945,18371.785714285714,17224097,886,7
2022-05-21,17749.28835089903,16219.142857142857,15338488,885,7
2022-05-22,15159.832278515436,13541.785714285714,13149945,885,7
2022-05-23,18089.591514811586,16450.214285714286,15669448,886,7
2022-05-24,18818.635502381665,17150.0,16372809,892,7
2022-05-25,19334.42711379181,17766.85714285714,16923311,891,7
2022-05-26,19880.68177483748,18130.571428571428,17345248,888,7
2022-05-27,19771.058046996077,17761.5,17283112,889,7
