date,daily_mean_pm25,pm25_count,pm25_min,pm25_max
2022-06-17,2.07617942152679,10545,0.286,45.829
2022-06-20,9.785036072772899,9564,3.02,103.12
2022-06-21,8.1619749669749,15140,1.348,341.188
2022-06-22,7.575696732989438,20355,0.838,185.582
2022-06-23,6.8484379023688975,15999,1.565,699.033
2022-06-24,3.581833569973455,16199,0.099,310.541
2022-06-27,5.384496007020623,22790,0.66,165.514
2022-06-28,6.247847593804356,12073,0.477,222.095
2022-06-29,6.204743093270366,21175,0.516,141.674
2022-06-30,4.239786131888917,23262,0.615,101.328
2022-07-11,5.193090758780945,22378,0.714,110.858
2022-07-12,4.531557447012563,20854,0.764,329.493
2022-07-13,4.164867810449072,19351,0.369,255.608
2022-07-14,3.6810397386556875,11173,0.482,655.612
2022-07-15,3.9297887457519955,12653,1.316,267.937
2022-07-18,6.900327456968351,21612,1.543,137.451
2022-07-19,8.744367164876227,21410,2.624,132.996
2022-07-20,3.0642054806708483,22479,0.16,114.377
2022-07-21,5.995679487179487,16146,0.938,282.199
2022-07-25,2.6035245313123254,12535,0.273,77.137
2022-07-26,3.1665190676551127,14973,0.314,370.85
2022-07-27,4.029016741563133,11349,0.424,56.028
2022-07-28,4.304746127494787,13428,0.746,113.705
2022-07-29,6.341326630731028,16511,1.281,95.26
2022-08-02,2.0363796688021276,8273,0.195,141.911
2022-08-03,3.111658006751798,6813,0.201,43.289
2022-08-05,5.042142016112374,19364,0.373,453.494
