date,location_label,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites
2021-09-09,north,17484.449494949495,16052.5,3461921,198
2021-09-09,south,15725.836734693878,16192.0,2311698,147
2021-09-10,north,18301.888324873096,16543.0,3605472,197
2021-09-10,south,16098.496598639456,16328.0,2366479,147
2021-09-11,north,15794.756345177664,14498.0,3111567,197
2021-09-11,south,14349.04794520548,15074.5,2094961,146
2021-09-12,north,14297.878172588831,13311.0,2816682,197
2021-09-12,south,12624.45205479452,12733.0,1843170,146
2021-09-13,north,16601.668341708544,15023.0,3303732,199
2021-09-13,south,14462.639455782311,14805.0,2126008,147
2021-09-14,north,17054.623115577888,15899.0,3393870,199
2021-09-14,south,15091.299319727892,15719.0,2218421,147
2021-09-15,north,17407.683417085427,15786.0,3464129,199
2021-09-15,south,15526.925170068029,15588.0,2282458,147
2021-09-16,north,17896.904522613066,15980.0,3561484,199
2021-09-16,south,15926.482993197278,16377.0,2341193,147
2021-09-17,north,18149.668341708544,16387.0,3611784,199
2021-09-17,south,16576.931972789116,16604.0,2436809,147
2021-09-18,north,15755.24623115578,14735.0,3135294,199
2021-09-18,south,14390.77551020408,14741.0,2115444,147
2021-09-19,north,14286.557788944723,13453.0,2843025,199
2021-09-19,south,12540.959183673467,12937.0,1843521,147
2021-09-20,north,16912.99497487437,15550.0,3365686,199
2021-09-20,south,14628.42857142857,15384.0,2150379,147
2021-09-21,north,17144.090452261305,15995.0,3411674,199
2021-09-21,south,15296.326530612245,15654.0,2248560,147
2021-09-22,north,17461.0351758794,15998.0,3474746,199
2021-09-22,south,15613.666666666666,15846.0,2295209,147
2021-09-23,north,17754.577889447235,16102.0,3533161,199
2021-09-23,south,15863.033783783783,16325.5,2347729,148
2021-09-24,north,18200.819095477385,16510.0,3621963,199
2021-09-24,south,16291.802721088436,16827.0,2394895,147
2021-09-25,north,15934.70351758794,15056.0,3171006,199
2021-09-25,south,14508.721088435374,15132.0,2132782,147
2021-09-26,north,14177.96984924623,13414.0,2821416,199
2021-09-26,south,12856.734693877552,13341.0,1889940,147
2021-09-27,north,16863.658291457286,15106.0,3355868,199
2021-09-27,south,14543.489795918367,14959.0,2137893,147
2021-09-28,north,17154.22110552764,15681.0,3413690,199
2021-09-28,south,15348.25850340136,16295.0,2256194,147
2021-09-29,north,17562.849246231155,16401.0,3495007,199
2021-09-29,south,15766.081632653062,16713.0,2317614,147
2021-09-30,north,17706.170854271357,15981.0,3523528,199
2021-09-30,south,16307.931972789116,16796.0,2397266,147
2021-10-01,north,18351.582914572864,16847.0,3651965,199
2021-10-01,south,16764.36054421769,17494.0,2464361,147
2021-10-02,north,15950.055276381909,14971.0,3174061,199
2021-10-02,south,14756.081632653062,15236.0,2169144,147
2021-10-03,north,14180.206030150754,13210.0,2821861,199
